epoch,acc,loss,auc
0.0,0.576291015625,1.1790018629573134,0.9122734771855896
0.0,0.576501953125,1.1784500640313254,0.912342128450115
0.0,0.576267578125,1.1789590282873796,0.9122976002850116
0.0,0.5762109375,1.1789551465369417,0.9122843639006054
1.0,0.6412265625,0.9901342978093446,0.9359776305811678
1.0,0.641306640625,0.990407358239538,0.9359098911397812
1.0,0.64123046875,0.990440128768529,0.9359477588865588
1.0,0.64105078125,0.9910310992552152,0.935852031128244
2.0,0.66369921875,0.9208233058784494,0.9439070364612048
2.0,0.66359765625,0.921160009855132,0.9438465049268874
2.0,0.66365625,0.9212204560130632,0.9438385301361928
2.0,0.66391796875,0.9207502688107688,0.9439130141876134
3.0,0.67208984375,0.900849814959552,0.9459425060782396
3.0,0.6720390625,0.901101504810704,0.9459267674268396
3.0,0.6720859375,0.9009435630098461,0.9459338014821723
