epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.200458984375,1.9027487237993133,0.8207251512678613,,,
0.0,0.20066796875,1.9028163520023045,0.8206932938657251,,,
0.0,0.20047265625,1.9029339844962525,0.8206743229763047,,,
0.0,0.200220703125,1.903081054540979,0.8207860025781629,,,
1.0,0.418486328125,1.6374193529104082,0.8669769526067441,,,
1.0,0.418388671875,1.6376281912978476,0.8669392208720353,,,
1.0,0.4185859375,1.637342846927519,0.8670091141581497,,,
1.0,0.41858984375,1.637444788355503,0.8670324461954138,,,
2.0,0.473623046875,1.418443464476203,0.8846820123808031,,,
2.0,0.4737265625,1.4178879279162846,0.8847867043294171,,,
2.0,0.473740234375,1.4176113194962034,0.8847773635589816,,,
2.0,0.473609375,1.417895048994275,0.8847621924636875,,,
3.0,0.578619140625,1.3100067176630528,0.9028667602321284,,,
3.0,0.5784453125,1.3105663683417623,0.902816241767984,,,
3.0,0.57857421875,1.3100600256889832,0.9028945498661942,,,
3.0,0.578552734375,1.310383271249585,0.9027936947314784,,,
4.0,0.591515625,1.243519239889745,0.9132089423424362,,,
4.0,0.591419921875,1.2430254199727495,0.9132585293666732,,,
4.0,0.59158984375,1.2429919624013226,0.9132576455751592,,,
4.0,0.591583984375,1.243119684634575,0.9132329386159072,,,
5.0,0.5900078125,1.2121150150985918,0.914029585799879,,,
5.0,0.59015625,1.2127421847601072,0.9139501067107232,,,
5.0,0.590287109375,1.2124974119074612,0.9139598792691584,,,
5.0,0.590189453125,1.212720728923,0.9139945230643036,,,
6.0,0.572626953125,1.2749226310024415,0.9012422681395844,,,
6.0,0.572984375,1.2737383435134628,0.901370829662672,,,
6.0,0.572673828125,1.2746475339590988,0.9012303981823612,,,
6.0,0.57303515625,1.2742881381068725,0.9012729619781976,,,
7.0,0.60503125,1.1683237510841702,0.9184671790912208,,,
7.0,0.605173828125,1.1682091518426772,0.9185249794589724,,,
7.0,0.60511328125,1.1682743877110755,0.9185075218520412,,,
7.0,0.604974609375,1.1683775860390615,0.9184719644078884,,,
8.0,0.60562890625,1.154682691279736,0.9191169204776448,,,
8.0,0.60559375,1.1539655055294498,0.9191442365685452,,,
8.0,0.60546875,1.1543038714384748,0.9191474409743694,,,
8.0,0.6056015625,1.1541687918775465,0.9191382593206296,,,
9.0,0.606921875,1.1562058452685802,0.919181357596294,,,
9.0,0.606751953125,1.155237423224635,0.9191850672427822,,,
9.0,0.606837890625,1.1560867850553829,0.9191796296155228,,,
9.0,0.60690625,1.155756271138573,0.9192073871959404,,,
,,,,0.8629285,,0.0
,,,,0.0,,0.0
,,,,0.7783025,,0.0
,,,,0.907657,,0.0
,,,,0.0,,0.0
,,,,0.848255,,0.0
,,,,0.9022765,,0.0
,,,,0.7707665,,0.0
,,,,0.2907275,,0.0
,,,,0.7032445,,0.0
