epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.7875120038412292,0.4610663393891319,,,,
1.0,0.5014604673495519,0.693511535403976,,,,
2.0,0.4985245278489116,0.6931681293910482,,,,
3.0,0.7244368197823303,0.5452963252701769,,,,
4.0,0.7733574743918054,0.4828487329595052,,,,
5.0,0.7904529449423816,0.4561169709713013,,,,
6.0,0.7933688780409731,0.4518704912989436,,,,
7.0,0.7981704145326505,0.4410484263883517,,,,
8.0,0.7985405329705506,0.4401807392864587,,,,
9.0,0.7982654449423816,0.4402476618074513,,,,
,,,,0.7987179871798717,,0.0
