epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.8161861795774648,0.4131425069198393,,,,
1.0,0.8214828745198464,0.4070009879746388,,,,
2.0,0.8260293293854033,0.4019816218466129,,,,
3.0,0.8247489196542894,0.4022919239480634,,,,
4.0,0.8281199983994878,0.3983585492349683,,,,
5.0,0.828430097631242,0.3953835207871461,,,,
6.0,0.8290452944942381,0.3960908800168479,,,,
7.0,0.8317011443661971,0.3905777799729648,,,,
8.0,0.8323213428297055,0.3896992510421818,,,,
9.0,0.8320512564020487,0.3899693864460706,,,,
,,,,0.8305933059330594,,0.0
