epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.7661651728553137,0.4919881371652264,,,,
1.0,0.7652948943661971,0.4915393962563778,,,,
2.0,0.7662602032650448,0.4917519622264558,,,,
3.0,0.7644896366837388,0.4945543380477539,,,,
4.0,0.764434619078105,0.5010454106787344,,,,
5.0,0.7662502000640204,0.4916535100337618,,,,
6.0,0.7655199663892446,0.4925375389238736,,,,
7.0,0.7660551376440461,0.4921028424108037,,,,
8.0,0.7656600112035852,0.4920715220347774,,,,
9.0,0.765960107234315,0.4919879083882525,,,,
,,,,0.7660526605266053,,0.0
