epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.7654749519846351,0.4985139405509319,,,,
1.0,0.7657450384122919,0.4928142454587687,,,,
2.0,0.7537562019846351,0.5109138231393406,,,,
3.0,0.7480943902048656,0.5201964806263742,,,,
4.0,0.755706826184379,0.506892702229043,,,,
5.0,0.7517355553777209,0.5162812533072817,,,,
6.0,0.7408970870678617,0.5338178074624509,,,,
7.0,0.7216259202944942,0.5589995859177161,,,,
8.0,0.7214758722791293,0.5596052918419319,,,,
9.0,0.7197603233034571,0.5608880710967994,,,,
,,,,0.7659976599765997,,0.0
