epoch,acc,loss,auc,test_acc,test_auc,test_loss
3.0,0.8203325064020487,0.4096964525148578,,,,
4.0,0.8212477992957746,0.4113872466155044,,,,
0.0,0.8153209026888605,0.4147509326215686,,,,
5.0,0.8191271206786171,0.4117143909962638,,,,
1.0,0.8177266725352113,0.4142402865128129,,,,
6.0,0.8194472231113956,0.4134500955316731,,,,
2.0,0.8251890604993598,0.4022763473986377,,,,
7.0,0.8261693741997439,0.4015182973406172,,,,
3.0,0.8274947983354674,0.3978970310019441,,,,
8.0,0.8273797615236875,0.3992412476998545,,,,
4.0,0.8280149647887324,0.3988086036257356,,,,
9.0,0.8277048655569782,0.3983002795897988,,,,
,,,,0.8263232632326323,,0.0
5.0,0.829590468950064,0.3952898083056698,,,,
6.0,0.80230673815621,0.4370195911877561,,,,
7.0,0.8276098351472471,0.3977775904942901,,,,
8.0,0.8282450384122919,0.396042961267392,,,,
9.0,0.8289452624839949,0.3951615870571209,,,,
,,,,0.8286032860328604,,0.0
