epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.4985995518565941,0.6932119955520158,,,,
1.0,0.4986145566581306,0.693443025124424,,,,
2.0,0.4986995838668374,0.6931507736779813,,,,
3.0,0.5016705345710627,0.6931497699917485,,,,
4.0,0.4986045534571062,0.693149090821426,,,,
5.0,0.4987896126760563,0.6931488626825366,,,,
6.0,0.5016255201664532,0.6932154908328911,,,,
7.0,0.4988746398847631,0.6931616196279412,,,,
8.0,0.501310419334187,0.693146828774888,,,,
9.0,0.5016505281690141,0.6931456051880147,,,,
,,,,0.5000050000500005,,0.0
