epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.7644796334827144,0.5147661903626568,,,,
1.0,0.7627990957106274,0.4983648709751457,,,,
2.0,0.7646046734955185,0.4958271597108855,,,,
3.0,0.7658850832266325,0.4960560956755429,,,,
4.0,0.762909130921895,0.4966439285804952,,,,
5.0,0.7645196462868118,0.494146214280446,,,,
6.0,0.7655399727912933,0.4927042778593727,,,,
7.0,0.7655449743918054,0.491948582396794,,,,
8.0,0.7644746318822023,0.4920884963673603,,,,
9.0,0.7658850832266325,0.4909607961357184,,,,
,,,,0.7660526605266053,,0.0
