epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.783570742637644,0.4719279245494154,,,,
1.0,0.7878771206786171,0.4611892393742607,,,,
2.0,0.7746728953265045,0.4814035369141243,,,,
3.0,0.7832806498079385,0.4634032801694882,,,,
4.0,0.788452304737516,0.4555473300471976,,,,
5.0,0.7923935659411011,0.452270321640574,,,,
6.0,0.7921935019206146,0.4517193675825864,,,,
7.0,0.7960997519206146,0.4436245410373007,,,,
8.0,0.7984505041613317,0.4398179306844871,,,,
9.0,0.7983304657490397,0.4401711602416823,,,,
,,,,0.7988279882798828,,0.0
