epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.5013754401408451,0.6931717572262529,,,,
1.0,0.4986445662612035,0.6931641692739007,,,,
2.0,0.4986695742637644,0.6931532262763399,,,,
3.0,0.4986945822663252,0.6931637973865908,,,,
4.0,0.501495478553137,0.6931858704349947,,,,
5.0,0.4986545694622279,0.693278177403215,,,,
6.0,0.5014404609475032,0.6933312172288764,,,,
7.0,0.501315420934699,0.6931447885952546,,,,
8.0,0.4985895486555697,0.6931507290463202,,,,
9.0,0.4984895166453265,0.6931494627078378,,,,
,,,,0.5000050000500005,,0.0
