epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.7899277768886044,0.4606434179036102,,,,
1.0,0.7944742317541613,0.4553225205865347,,,,
2.0,0.7952344750320103,0.4503454493308976,,,,
3.0,0.7927936939820742,0.4538884913417872,,,,
4.0,0.8004011283610756,0.4474749961206652,,,,
5.0,0.8042073463508322,0.4386874615847979,,,,
6.0,0.8007062259923176,0.446287841476341,,,,
7.0,0.8046524887964148,0.4385481394818585,,,,
8.0,0.8052226712548015,0.4358010636868955,,,,
9.0,0.805207666453265,0.436679022551763,,,,
,,,,0.8032830328303283,,0.0
