epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.50011962890625,0.6933225181480921,,,,
1.0,0.4999072265625,0.6933305757096632,,,,
2.0,0.50000244140625,0.693159495200898,,,,
3.0,0.4998291015625,0.6931910585778874,,,,
4.0,0.5003857421875,0.6932220445438676,,,,
5.0,0.4998583984375,0.6931738986556168,,,,
6.0,0.5001806640625,0.6931505118229933,,,,
7.0,0.5001708984375,0.6931551846225704,,,,
8.0,0.50021728515625,0.693149220695221,,,,
9.0,0.49945068359375,0.6931476713603828,,,,
,,,,0.5002116341872134,,0.0
