epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.91300048828125,0.2156880560716719,,,,
1.0,0.9141357421875,0.2169786254184363,,,,
2.0,0.81965087890625,0.4143342841744538,,,,
3.0,0.90822265625,0.2440427290451612,,,,
4.0,0.91763671875,0.2020558017895925,,,,
5.0,0.9175732421875,0.2046834665212219,,,,
6.0,0.91574951171875,0.2049184615103665,,,,
7.0,0.92715576171875,0.1813472831367357,,,,
8.0,0.92705078125,0.1818752486147231,,,,
9.0,0.9270654296875,0.1811409936198321,,,,
,,,,0.9276780388070267,,0.0
