epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.916962890625,0.2018412092641708,,,,
1.0,0.92778564453125,0.1808478064224392,,,,
2.0,0.9274072265625,0.179863431770058,,,,
3.0,0.922802734375,0.1875703530427833,,,,
4.0,0.92907470703125,0.1807702550151266,,,,
5.0,0.92596923828125,0.1838820361235203,,,,
6.0,0.925556640625,0.1836128031907742,,,,
7.0,0.93319580078125,0.1666006408545103,,,,
8.0,0.93281005859375,0.1661615795159306,,,,
9.0,0.93392333984375,0.1639394610952194,,,,
,,,,0.9347968683090799,,0.0
