epoch,acc,loss,auc,test_acc,test_auc,test_loss
0.0,0.8901904296875,0.2758763368361639,,,,
1.0,0.8877294921875,0.2789719357473065,,,,
2.0,0.8984912109375,0.2419809250197367,,,,
3.0,0.9090966796875,0.2234471148084189,,,,
4.0,0.910859375,0.2239909181573544,,,,
5.0,0.89880126953125,0.2455203888817884,,,,
6.0,0.9069384765625,0.2273821281547991,,,,
7.0,0.91303466796875,0.2093545822317793,,,,
8.0,0.91849365234375,0.2034103063272115,,,,
9.0,0.91853515625,0.2034186601016823,,,,
,,,,0.919027027294622,,0.0
